"","ASR","category","type","rankings","iso","name"
"1759",24.1,"breast","incidence",148,"LBY","Libya"
"1760",24.1,"breast","incidence",148,"LBR","Liberia"
"1761",10.1,"breast","mortality",148,"CPV","Cabo Verde"
"1762",2.9,"lung","incidence",148,"SOM","Somalia"
"1763",2.7,"lung","mortality",148,"DJI","Djibouti"
"1764",2.9,"liver","incidence",148,"COL","Colombia"
"1765",2.9,"liver","incidence",148,"YEM","Yemen"
"1766",2.9,"liver","incidence",148,"RUS","Russian Federation"
"1767",2.9,"liver","incidence",148,"DNK","Denmark"
"1768",3.3,"stomach","incidence",148,"GNB","Guinea Bissau"
"1769",3.3,"stomach","incidence",148,"VUT","Vanuatu"
"1770",3.7,"colorectum","mortality",148,"TZA","United Republic of Tanzania"
"1771",3.7,"colorectum","mortality",148,"GNQ","Equatorial Guinea"
"1772",3.7,"colorectum","mortality",148,"EGY","Egypt"
"1773",3.7,"colorectum","mortality",148,"SDN","Sudan"
"1774",9.9,"breast","mortality",149,"VNM","Viet Nam"
"1775",9.9,"breast","mortality",149,"IRN","Iran (Islamic Republic of)"
"1776",2.8,"lung","incidence",149,"MOZ","Mozambique"
"1777",2.8,"lung","incidence",149,"LSO","Lesotho"
"1778",2.6,"lung","mortality",149,"SOM","Somalia"
"1779",2.7,"liver","mortality",149,"DJI","Djibouti"
"1780",2.7,"liver","mortality",149,"GHA","Ghana"
"1781",2.7,"liver","mortality",149,"CAN","Canada"
"1782",2.7,"liver","mortality",149,"SAU","Saudi Arabia"
"1783",2.7,"liver","mortality",149,"SWE","Sweden"
"1784",0.8,"thyroid","incidence",149,"GHA","Ghana"
"1785",2.7,"stomach","mortality",149,"DJI","Djibouti"
"1786",2.7,"stomach","mortality",149,"GHA","Ghana"
"1787",2.7,"stomach","mortality",149,"CAN","Canada"
"1788",2.7,"stomach","mortality",149,"SAU","Saudi Arabia"
"1789",2.7,"stomach","mortality",149,"SWE","Sweden"
"1790",4.8,"colorectum","incidence",149,"TZA","United Republic of Tanzania"
"1791",4.8,"colorectum","incidence",149,"ZMB","Zambia"
"1792",4.8,"colorectum","incidence",149,"NAM","Namibia"
"1793",4.8,"colorectum","incidence",149,"CIV","Côte D'Ivoire"
"1794",4.8,"colorectum","incidence",149,"NER","Niger"
"1795",23.9,"breast","incidence",150,"NIC","Nicaragua"
"1796",2.5,"lung","mortality",150,"MOZ","Mozambique"
"1797",0.7,"thyroid","incidence",150,"CMR","Cameroon"
"1798",0.7,"thyroid","incidence",150,"BWA","Botswana"
"1799",0.7,"thyroid","incidence",150,"NAM","Namibia"
"1800",0.7,"thyroid","incidence",150,"GMB","Gambia (Islamic Republic of the)"
"1801",0.7,"thyroid","incidence",150,"NER","Niger"
"1802",0.7,"thyroid","incidence",150,"DOM","Dominican Republic"
"1803",0.7,"thyroid","incidence",150,"AFG","Afghanistan"
"1804",3.2,"stomach","incidence",150,"GIN","Guinea"
"1805",23.8,"breast","incidence",151,"NER","Niger"
"1806",9.8,"breast","mortality",151,"COM","Comoros"
"1807",9.8,"breast","mortality",151,"JPN","Japan"
"1808",2.7,"lung","incidence",151,"DJI","Djibouti"
"1809",2.7,"lung","incidence",151,"UGA","Uganda"
"1810",2.7,"lung","incidence",151,"MLI","Mali"
"1811",2.4,"lung","mortality",151,"UGA","Uganda"
"1812",2.4,"lung","mortality",151,"LSO","Lesotho"
"1813",3.1,"stomach","incidence",151,"TZA","United Republic of Tanzania"
"1814",3.1,"stomach","incidence",151,"THA","Thailand"
"1815",3.1,"stomach","incidence",151,"SAU","Saudi Arabia"
"1816",23.7,"breast","incidence",152,"SLV","El Salvador"
"1817",2.8,"liver","incidence",152,"POL","Poland"
"1818",3.6,"colorectum","mortality",152,"CAF","Central African Republic"
"1819",3.6,"colorectum","mortality",152,"BEN","Benin"
"1820",3.6,"colorectum","mortality",152,"UZB","Uzbekistan"
"1821",23.5,"breast","incidence",153,"BDI","Burundi"
"1822",23.5,"breast","incidence",153,"AGO","Angola"
"1823",23.5,"breast","incidence",153,"COD","Democratic Republic of the Congo"
"1824",9.7,"breast","mortality",153,"TZA","United Republic of Tanzania"
"1825",9.7,"breast","mortality",153,"MEX","Mexico"
"1826",2.3,"lung","mortality",153,"ERI","Eritrea"
"1827",2.3,"lung","mortality",153,"KEN","Kenya"
"1828",2.3,"lung","mortality",153,"GMB","Gambia (Islamic Republic of the)"
"1829",2.3,"lung","mortality",153,"MLI","Mali"
"1830",2.7,"liver","incidence",153,"BGD","Bangladesh"
"1831",2.7,"liver","incidence",153,"IND","India"
"1832",2.7,"liver","incidence",153,"MDV","Maldives"
"1833",2.7,"liver","incidence",153,"LTU","Lithuania"
"1834",2.7,"liver","incidence",153,"CYP","Cyprus"
"1835",2.6,"lung","incidence",154,"KEN","Kenya"
"1836",2.6,"liver","mortality",154,"CHE","Switzerland"
"1837",2.6,"liver","mortality",154,"FJI","Fiji"
"1838",3,"stomach","incidence",154,"ETH","Ethiopia"
"1839",3,"stomach","incidence",154,"BFA","Burkina Faso"
"1840",3,"stomach","incidence",154,"PAK","Pakistan"
"1841",2.6,"stomach","mortality",154,"CHE","Switzerland"
"1842",2.6,"stomach","mortality",154,"FJI","Fiji"
"1843",4.6,"colorectum","incidence",154,"SDN","Sudan"
"1844",9.6,"breast","mortality",155,"NAM","Namibia"
